,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Address (0),43.5,52.32,129.72,147.96,82.67,86.14,3.56,9.51,158.44,179.53,88.86,102.34,171.87,148.86,99.27,108.8,179.46,174.39,0.56,0.56,0.55,0.53,0.58,0.58,0.57,0.56,0.51,0.55,0.58,0.59,0.61,0.58,0.62,0.58,0.64,0.62
Toe-up (1),65.47,51.86,103.37,161.75,84.99,91.46,47.09,54.93,150.01,159.55,82.67,100.88,175.03,150.97,92.36,108.16,168.69,175.7,0.6,0.6,0.49,0.53,0.57,0.61,0.46,0.54,0.36,0.48,0.59,0.56,0.59,0.6,0.58,0.58,0.58,0.66
Mid-backswing (2),59.04,55.98,63.43,136.55,89.53,90.0,85.14,77.47,161.57,158.63,85.89,94.57,168.72,154.08,82.83,111.35,158.79,179.42,0.55,0.55,0.47,0.48,0.55,0.57,0.46,0.5,0.32,0.44,0.6,0.6,0.53,0.6,0.58,0.63,0.56,0.69
Top (3),41.82,28.74,25.35,98.13,96.34,81.43,163.51,151.7,175.6,90.0,79.93,102.3,167.82,149.91,87.89,107.79,165.36,176.07,0.47,0.47,0.39,0.48,0.48,0.52,0.39,0.53,0.31,0.44,0.53,0.56,0.53,0.55,0.61,0.56,0.59,0.66
Mid-downswing (4),15.46,144.16,73.65,115.35,136.95,54.27,78.76,46.22,130.08,97.13,61.49,107.29,168.52,151.53,107.03,101.18,175.17,176.15,0.48,0.48,0.43,0.45,0.48,0.49,0.43,0.45,0.37,0.35,0.5,0.47,0.54,0.54,0.52,0.55,0.56,0.68
Impact (5),41.07,51.62,134.6,133.67,75.55,91.51,17.98,9.46,159.7,176.74,82.08,110.85,178.64,145.3,96.55,103.84,172.7,157.17,0.48,0.48,0.41,0.39,0.53,0.53,0.47,0.44,0.45,0.37,0.56,0.55,0.55,0.58,0.57,0.61,0.61,0.6
Mid-follow-through (6),52.13,25.35,158.63,73.07,71.83,102.92,34.67,55.19,163.39,177.65,79.67,105.58,173.94,152.1,94.27,102.32,172.92,151.59,0.41,0.41,0.4,0.37,0.52,0.46,0.5,0.42,0.41,0.36,0.58,0.59,0.59,0.53,0.66,0.65,0.71,0.64
Finish (7),25.72,83.18,179.53,174.09,73.6,74.28,81.15,28.44,29.29,157.25,112.11,100.01,168.78,173.5,79.11,73.5,177.86,157.21,0.5,0.5,0.43,0.38,0.53,0.53,0.46,0.41,0.44,0.35,0.47,0.47,0.44,0.47,0.38,0.41,0.42,0.48
